Ticker,Acurácia Dir %,MAPE %,Acertos,Erros,Dias Teste,Dias Treino,Classe
FLRY3.SA,53.01,179.27,132,117,249,798,🟡 Bom
ESPA3.SA,53.01,104.77,132,117,249,798,🟡 Bom
REX,52.8,316.83,132,118,250,805,🟡 Bom
AVAV,52.8,559.03,132,118,250,805,🟡 Bom
MOH,52.8,2604.65,132,118,250,805,🟡 Bom
REGN,52.8,270.9,132,118,250,805,🟡 Bom
WEN,52.8,123.49,132,118,250,805,🟡 Bom
AIT,52.8,191.49,132,118,250,805,🟡 Bom
ARCO,52.8,127.76,132,118,250,805,🟡 Bom
PATH,52.8,203.5,132,118,250,805,🟡 Bom
GOOS,52.8,235.65,132,118,250,805,🟡 Bom
HLT,52.8,255.78,132,118,250,805,🟡 Bom
CIFR,52.8,378.18,132,118,250,805,🟡 Bom
ULTA,52.8,271.11,132,118,250,805,🟡 Bom
BLK,52.8,424.43,132,118,250,805,🟡 Bom
WDAY,52.8,229.28,132,118,250,805,🟡 Bom
JKHY,52.8,281.08,132,118,250,805,🟡 Bom
KDP,52.8,200.36,132,118,250,805,🟡 Bom
DLR,52.8,247.51,132,118,250,805,🟡 Bom
CMC,52.8,225.97,132,118,250,805,🟡 Bom
OKE,52.8,400.46,132,118,250,805,🟡 Bom
ZM,52.8,270.25,132,118,250,805,🟡 Bom
KYOCY,52.8,228.95,132,118,250,805,🟡 Bom
SAM,52.8,464.66,132,118,250,805,🟡 Bom
NVCR,52.8,182.02,132,118,250,805,🟡 Bom
CAT,52.8,385.38,132,118,250,805,🟡 Bom
COP,52.8,178.54,132,118,250,805,🟡 Bom
BNP.PA,52.76,276.47,134,120,254,827,🟡 Bom
GRND3.SA,52.61,136.44,131,118,249,798,🟡 Bom
VBBR3.SA,52.61,242.08,131,118,249,798,🟡 Bom
LAVV3.SA,52.61,259.63,131,118,249,798,🟡 Bom
DIRR3.SA,52.61,241.03,131,118,249,798,🟡 Bom
RAIL3.SA,52.61,176.35,131,118,249,798,🟡 Bom
HPQ,52.4,188.78,131,119,250,805,🟡 Bom
SLF,52.4,200.09,131,119,250,805,🟡 Bom
WYNN,52.4,236.87,131,119,250,805,🟡 Bom
TSLA,52.4,281.55,131,119,250,805,🟡 Bom
STZ,52.4,315.47,131,119,250,805,🟡 Bom
SLB,52.4,179.55,131,119,250,805,🟡 Bom
BILL,52.4,164.41,131,119,250,805,🟡 Bom
CNQ,52.4,175.97,131,119,250,805,🟡 Bom
MAR,52.4,262.15,131,119,250,805,🟡 Bom
VIPS,52.4,234.04,131,119,250,805,🟡 Bom
SWKS,52.4,159.99,131,119,250,805,🟡 Bom
MP,52.4,383.4,131,119,250,805,🟡 Bom
ELF,52.4,322.3,131,119,250,805,🟡 Bom
MA,52.4,229.6,131,119,250,805,🟡 Bom
MMSI,52.4,252.11,131,119,250,805,🟡 Bom
A,52.4,214.78,131,119,250,805,🟡 Bom
POSI3.SA,52.21,126.32,130,119,249,798,🟡 Bom
PSSA3.SA,52.21,275.73,130,119,249,798,🟡 Bom
CSAN3.SA,52.21,148.71,130,119,249,798,🟡 Bom
BNTX,52.0,284.6,130,120,250,805,🟡 Bom
ODFL,52.0,273.89,130,120,250,805,🟡 Bom
WEC,52.0,139.69,130,120,250,805,🟡 Bom
ETR,52.0,197.5,130,120,250,805,🟡 Bom
PG,52.0,193.7,130,120,250,805,🟡 Bom
DAL,52.0,196.8,130,120,250,805,🟡 Bom
DVN,52.0,194.21,130,120,250,805,🟡 Bom
KYMR,52.0,399.23,130,120,250,805,🟡 Bom
GE,52.0,320.29,130,120,250,805,🟡 Bom
